rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,exact_url_mentions_today,filename_mentions_today,social_exact_mentions_today,social_engagement_today,providers_checked_today,errors_today,heat_score_7d,exact_url_mentions_7d,filename_mentions_7d,social_exact_mentions_7d,social_engagement_7d,providers_checked_7d,errors_7d,heat_score_30d,exact_url_mentions_30d,filename_mentions_30d,social_exact_mentions_30d,social_engagement_30d,providers_checked_30d,errors_30d
7d,6.0,6.0,NYC Comptroller,report,,The Pied-à-Terre Tax and Its Potential Revenues,2026-04-30,https://comptroller.nyc.gov/reports/the-pied-a-terre-tax-and-its-potential-revenues,,html,1 news article linking the exact report URL,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,6.0,1,0,0,0,"bluesky,hackernews,newsrss",,10.2,1,0,1,11,"bluesky,hackernews,newsrss",
7d,2.6,2.6,NYC Comptroller,report,,Who's Minding the Storefronts?,2026-06-04,https://comptroller.nyc.gov/reports/whos-minding-the-storefronts,,html,1 social post sharing the exact link with 3 total engagement,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,2.6,0,0,1,3,"bluesky,hackernews,newsrss",,2.6,0,0,1,3,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Access Denied: Challenges to DOI's Oversight of the City's Child Welfare System,2026-05-05,https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2026/10ACSReport.Release05.05.2026FINAL.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,OIG-NYPD Twelfth Annual Report,2026-04-15,https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2026/08OIGNYPD.AR.Release.Rpt.04.15.2026.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Investigation into the Reclamation of Vacant NYCHA Apartments,2026-03-03,https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2026/05NYCHAReclaim.Release.Rpt.03.03.2026.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Report on the New York City Conflicts of Interest Board's Advisory Opinion and Moonlighting Waiver Practices,2025-12-18,https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/50COIBRelease.Rpt.12.18.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI Investigation into the NYPD's Compliance with Local Laws Restricting City Assistance with Immigration Enforcement,2025-12-03,https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/49NYPD.SancLawsRelease.Rpt.12.03.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Update on NYPD's Implementation of DOI's 2023 Criminal Group Database Recommendations,2025-10-15,https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/41CGDRelease.Rpt.10.15.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI Investigation into DOC Correction Intelligence Bureau Investigator Assisting Federal Agents with Immigration Enforcement,2025-09-25,https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/38DOC.Release.Rpt.09.25.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI Investigation into Theft Involving Pension Funds Managed by the NYC Employees' Retirement System (NYCERS) and Related Recommendations,2025-09-17,https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/36NYCERS.Release.Rpt.09.17.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
